Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 3,Omics 1 private topic 9,Omics 2 private topic 4,Omics 2 private topic 8
-0.42167294,-0.09459225,0.16624941,-0.46372196,-0.46541804,-0.004225764,-0.034511488,-0.15197252,-0.08968563
0.3642299,3.4367907,-0.33502206,-0.32254863,-0.5156367,0.10313161,-0.44933933,-0.43688112,-0.4324869
-0.28909338,0.22683254,-0.185191,-0.28245264,-0.18832266,-0.28236276,-0.004778457,-0.18600924,-0.005951324
-0.37400448,-0.35824448,-0.20446514,-0.31748646,-0.1234844,0.3709498,-0.31797954,-0.45616156,-0.070803866
3.3646498,-0.55192375,-0.26589903,-0.14749664,-0.5921984,0.034917388,-0.16971852,-0.47478837,-0.15814863
-0.43580037,-0.629705,-0.54077363,-0.3684919,-0.7248203,0.16921929,-0.1755836,3.0664093,-0.5582359
-0.21498932,-0.07722242,-0.40277857,-0.1191024,0.74945676,0.019259378,-0.12886237,-0.19687185,-0.102895156
0.5939565,-0.10079708,-0.32731277,-0.13004349,-0.24683109,0.19582638,-0.12273757,-0.18979114,-0.36289412
-0.34616795,0.09833113,-0.2906826,-0.26111642,1.0083251,0.10683035,-0.16510373,-0.29481956,-0.13375655
-0.3614557,-0.5024026,-0.28101003,-0.3695277,-0.06351533,2.567819,-1.4055686,-0.32285124,-0.2172184
-0.3074234,-0.077456504,1.0029532,-0.11023303,-0.0780568,0.046000537,-0.05121443,-0.2730885,0.16932954
0.1892795,-0.54904234,-0.6219688,-0.20556498,-0.39556068,-1.070286,-0.65655696,-0.2973259,-0.48886496
-0.40454453,-0.26277003,-0.1301279,-0.29223186,0.056980863,-0.03125769,-0.14291485,-0.38965583,-0.38214585
-0.5069732,-0.7121737,0.008676138,-0.59944284,-0.80773854,-0.2846695,-0.3343944,2.9323568,-0.5274191
-0.24886388,-0.4408602,-0.22406498,-0.47016764,-0.26414776,0.22884142,-0.2675252,-0.36688083,-0.11514081
3.6683586,-0.35876012,0.24002011,-0.48608008,0.2363154,-0.49810407,-0.16251023,-0.34875786,-0.20772254
-0.068345904,-0.33863378,3.543562,0.05830781,-0.49823642,-0.16210778,-0.056773998,-0.35231668,-0.07681474
-0.696316,-0.5000515,3.8530812,-0.17571238,-0.30338448,-0.29102466,-0.20271558,-0.43440998,-0.85588646
-0.13246085,-0.59333545,-0.4043586,-0.3752178,4.055833,-0.15412076,-0.28635707,-0.37402007,-0.3687163
0.0682578,0.024089929,-0.07717484,-0.16422702,0.090537235,-0.35666594,-0.81218094,-0.3202216,-0.32167023
-0.44628897,0.21296525,0.49356025,-0.40513214,-0.82029724,-0.04553414,-0.051041186,-0.30616212,-0.13381426
-0.3022607,-0.3550781,-0.4344011,-0.582654,-0.16810964,3.6095216,-0.57741654,-0.40191287,-0.23460992
-0.14415963,-0.38480762,-0.42089033,-0.22351153,-0.15965904,-0.19161105,-0.43464032,-0.44707137,0.24946833
-0.74910295,-0.34583694,0.19640309,-0.3999343,0.0892707,0.064625636,0.041246586,-0.27520293,0.31532001
3.829062,-0.09954777,0.000108778,-0.18759708,-0.73142177,-0.24484883,-0.21827866,-0.3641091,-0.111294225
-0.074041694,-0.1340783,-0.34577686,-0.20984966,0.9000348,0.019873342,-0.3056594,-0.36669865,0.1739704
-0.084998,-0.13661587,-0.2689225,0.45205706,0.02884021,-0.21537843,-0.24217357,-0.19144325,0.21311975
