,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27ac private topic 2,H3K27ac private topic 5
Enc1,0.90267634,0.45611393,-0.18170585,-0.041740716,0.5635497,-0.6568079,-1.1711065,0.02998519,0.35287416,-0.5360561,-0.045591176,0.12782633,-1.6982219,-2.8488677,0.58553475,-0.19812797,-0.69339216,-0.37570584,0.5582311
Gm20063,-0.84334606,0.06928897,-3.5177126,-3.4212382,1.4193499,-1.8190415,-4.2966323,-2.0973516,1.0290968,-0.47127256,-1.6404815,-1.5618445,-1.163831,-1.3175256,0.09475243,-1.8598994,-2.4062905,-1.961775,-0.10532129
Gm26851,-1.3830059,0.2059623,-1.1711395,-0.45804587,-1.6482828,-2.608924,-2.4940495,-0.42341208,-0.18092361,0.09444952,-1.482149,-0.7683528,-1.6978025,-1.3727393,-0.059948444,-1.6988769,-0.71413434,-0.40924248,-0.15464723
Fezf1,-0.065221354,0.32716328,-0.48277766,-0.08374897,-0.43733168,-0.17665526,-1.4844075,-0.39629275,-0.9159157,-0.08748798,-0.3370699,1.0941556,-0.68858206,-0.45464736,-0.34951174,-2.0501854,-0.17410119,-0.46856275,0.39191073
Hoxc4,2.0588925,1.1269699,-2.6761587,-3.4583573,1.3108398,-2.0205739,-2.2466848,-2.732067,-0.40270656,-0.16905214,-1.3426105,-2.9023097,-1.7866117,0.46082115,0.5052095,-1.4185787,-0.98662734,0.4993655,0.22696397
Magoh,0.7294235,-0.3680538,-1.509606,-0.6774804,0.74704456,-1.5802438,-1.0602378,-0.60065746,-0.39699942,-3.6537423,-0.7713927,0.23518217,-0.18217143,-0.55293393,-0.17502478,-0.6777854,-0.83314943,0.013434529,1.3003551
Tfap2a,-0.019219533,0.43613178,-0.4419,0.72983515,0.9977095,0.12923145,-1.633143,0.028606728,-0.2302898,0.08865371,-1.1060534,0.034269243,-1.1187214,-0.32272696,0.39699978,-0.6145319,-0.6231386,0.43765134,-0.27550417
Mgarp,-0.62361926,-0.86732274,-0.0690991,-0.8386152,-0.6422062,-1.1271622,0.42746302,-1.0340511,-0.38303006,0.1523503,-0.39836973,-0.44020444,-0.28405958,-0.34881413,-0.47431442,-0.56606483,-0.48017466,-0.5108486,-0.32810146
Wnt7b,1.7889535,0.079163045,-0.8414759,-0.8058416,0.738569,0.60889864,-1.8938708,-0.8251555,-0.61786145,-0.9789633,-1.1263244,0.2738027,-0.6449432,-0.31203532,-0.3126024,-1.658496,-0.19785136,0.13194993,-0.36700034
Lrfn2,-0.78678066,-0.21436103,-0.12162013,-0.6544001,0.8332555,-0.35986343,-0.87566113,-0.818915,0.123056024,-0.28777826,0.55697626,-1.434556,-0.5490258,-1.5294702,-0.8775664,-0.022870958,-0.36043265,-0.2935178,-0.7374518
Drd4,-1.5490111,-4.618421,-0.3665989,-0.37943172,0.5331247,-0.30895662,-0.873216,-0.35659933,-0.23015948,-0.1499779,-0.6744986,-0.33468017,-4.4907084,-0.2606391,-0.28158948,-2.1786613,-0.31545478,-0.22059627,-0.17279863
B4galnt4,-0.062119126,0.39098614,-1.4026076,-0.22146231,-4.0773964,-0.3136912,-0.47034264,-0.751179,0.7580552,-0.65080404,-0.5509212,-0.04527217,-1.699099,-0.80840695,0.06363338,-1.4053566,-0.35339054,-0.4739919,0.033978075
Stum,-0.7438643,-1.1962919,-0.14944312,-0.120225325,0.07949489,-0.29204166,-0.78818744,0.107839316,-0.3480923,-0.27644593,-0.45602748,-0.7905492,-0.60963976,0.26863623,-0.48778784,-0.26969853,-0.16953328,-0.29208624,-0.33671194
Mcm5,-0.9456808,-4.542157,0.039981306,-0.5631455,-3.9678187,-0.73332214,0.3321042,-0.10644421,-1.8760891,-0.37195808,-0.2277073,-0.71692216,-0.7497682,-0.35038048,-2.5340753,-0.50950795,-0.047631502,-1.147962,-2.905317
Mesp2,-0.71910065,0.19404781,-0.49012253,-0.4283134,-4.2165546,-0.34261343,-1.6531731,-1.7732683,-2.5687037,0.24727929,-0.8757783,-0.96471786,-1.944502,-1.4568439,-3.6966736,0.2698164,-2.028998,-3.064854,-2.8864222
Sypl2,-0.1531055,-0.35330048,-0.7502939,-0.5539762,0.79393506,-0.6275553,-1.0689363,-0.6302068,-0.3669255,-0.23307297,-1.5380676,-1.0635154,0.25457907,-0.41556966,-0.2806591,-1.4746332,-3.1194837,-2.7309923,-1.7315286
Zfp467,-0.16729838,-1.8955874,-0.15052515,0.36093467,0.34801966,0.7545071,-1.1251469,0.3204707,-0.94460213,-0.42323232,-0.05469027,0.002994746,-2.2265346,-0.6512958,-0.2772401,0.28267747,-0.39258456,-0.9321199,0.20754445
Cdc42ep2,0.5723786,-4.1486626,0.19043195,-0.7635882,0.41055107,-1.6162795,0.23369631,-1.0804597,-0.3568818,-0.7114347,0.56880033,0.08152294,-0.9301982,-0.8749595,-4.2703876,-0.30549988,-0.10925847,-1.241096,-1.5078838
Pmvk,-0.7989726,-0.3071179,-0.20862384,-0.4214665,-0.8710637,-0.85787344,-0.09119827,-1.1114113,-0.38738692,-0.16536918,-0.44395584,-0.46022937,-0.89544713,-0.517419,-0.7759143,-0.1821657,-0.41818857,-0.2051517,-2.427557
Tmem131l,-1.3800868,-0.24828307,-0.26124594,0.20391145,-0.6147821,-0.6099313,0.49624947,0.46352607,-0.76716185,-0.9268888,-0.15556711,-0.09302956,-0.2991968,-2.1931255,-0.29117513,-1.2593966,-1.107779,-0.21682772,-0.039178327
Lin28a,-1.7353275,-4.6845117,0.1114977,-0.68258566,-0.27623686,-0.70106375,-0.96945447,-1.0191344,-0.40233853,-0.48737216,-0.7630484,0.08100277,-1.4055393,-0.8693527,-0.9960623,-0.15683097,-2.1994529,-1.2400594,-1.3866863
Klhl26,-0.74328315,-3.7675614,0.19245547,-0.111304194,-3.9613013,-0.03418669,-0.1803469,-0.064323425,-1.3723736,-0.13546774,-0.37166688,-0.90175897,-0.16094857,-0.77962804,-2.3801703,0.33606762,-0.49514934,-1.459567,-0.7402093
Ddit4,0.6679156,0.50173336,-0.88965666,0.684683,0.6605652,0.2325556,-2.2274566,-0.062284026,-0.34536317,-0.6389009,0.17502943,-0.10694817,-0.0817869,0.6347576,-0.02108512,0.115639985,0.12796101,-0.048482254,-0.56984013
Cdiptos,-0.43597203,-4.3884196,-0.32315934,-0.36032233,1.1447891,0.14635539,0.42684907,-0.09350774,-0.57146513,-2.5406566,-0.3020164,-0.62382317,0.21864876,0.033764243,-0.32729995,0.3616802,-0.9939607,-3.1211047,-2.7780578
Unc5c,-0.883304,-1.1250205,-0.51408964,-0.2152181,-1.1342692,-0.093519986,-1.3686246,-0.29745913,-0.21717727,-0.8520439,0.50705945,-0.81919265,-0.43792108,0.8399136,0.069348425,0.32098383,0.13371739,-0.75694704,-1.0782069
Lipg,1.3707603,-0.018507421,-1.6863443,-0.5632001,0.04294181,-0.08055389,-1.4239676,-3.0072784,-0.43336448,-1.5129973,-1.1900961,-0.315554,-1.3351439,-0.79213715,0.17295057,-0.22437888,-0.5180161,-1.1193275,0.42244643
Kif5c,0.24787134,0.40819162,-1.0843117,-0.50570315,0.33118397,-0.331331,-0.8302121,-0.48029327,0.65065396,-0.32862768,-1.4766941,0.12603155,-0.7269956,-1.0186837,0.5270378,-0.64638245,-0.767086,-0.4455206,0.5069742
Sorl1,-0.20577195,0.0029903054,-0.94765264,0.10654119,-0.1781029,0.21662274,-2.0382462,0.1483548,0.3481859,-0.51569813,0.14548329,-0.10225275,-1.1440349,-0.14741911,0.22883093,-0.3917723,-0.19198215,-0.15416905,-0.07570062
Dusp5,-1.5705218,0.2099185,0.34504318,-0.5788075,-3.9294045,-0.75341094,-0.47306085,-0.49574134,-1.0992463,-1.3525224,-1.4812033,-0.49872816,-0.0041086674,-0.028876841,-1.3496867,-0.025708705,-0.72289664,0.14263457,-0.73406196
Hand1,-1.1426315,-0.7117547,-0.07214752,-0.1571534,-0.060813874,0.040311262,-0.18594547,-0.31869042,-0.9447305,-0.70869046,-0.41190216,-0.016471714,0.0023121685,-0.12311075,0.15839115,-1.1173056,-0.10317445,-0.09424401,-0.14043969
Slc43a1,-1.4424288,-1.1033034,-0.554621,-0.83391625,-4.192707,-1.0437543,1.2230482,-1.1248758,-2.9248745,-1.7812413,0.086173594,-0.26488924,-0.115059614,-0.7362819,-1.5159862,-1.779954,-0.33695617,-1.6917139,-2.589759
Terc,-0.9708934,-0.5113516,-0.8726499,-0.14918998,1.0719424,-0.5827241,0.53838295,-0.23273769,-0.84516156,0.12229207,-0.6358298,-0.23954597,-2.813015,-0.18545912,0.044169784,-1.3928539,-0.085272625,-0.90798557,-0.24385284
D930028M14Rik,-0.35243756,-0.36230832,-1.0988698,-1.5278683,1.1145926,-1.0037717,0.3092448,-1.6852282,0.914243,-1.9903537,-3.0246332,0.41139138,-1.5005469e-05,-1.936815,0.4757799,-1.6504369,-1.2565925,0.1287905,0.2943259
Siglec15,-2.3914757,-1.9175681,-0.99011564,-0.23626688,-2.5211697,-0.5255657,-0.79220563,-0.96380925,-0.84572655,-0.34709778,-1.3099041,-1.1029599,-0.86113906,-0.6951856,0.06131512,-0.97185504,-0.2540959,-0.60347307,-0.31164473
Pcdh15,-1.1304309,0.044142455,-1.0870708,-0.23823282,-0.48570228,-0.2927246,-1.3580694,-0.27022865,0.20029855,-0.45141673,0.46397007,-0.3221933,-0.37397927,-0.3678285,-0.054768816,-0.6950443,-0.5893918,-0.18500927,-0.058600783
Vwa5b2,-1.5888203,0.151205,-0.655691,-1.0594909,-0.040328383,-0.271542,-0.6462338,-0.43941787,-0.14614685,-0.93849677,-0.40169352,-0.55862063,0.2999683,-0.65108055,-0.48134813,-0.033224165,-0.5231673,-0.80963445,-1.7989025
Wfdc2,-4.7686005,-4.643709,-0.34907663,0.18107092,-4.0348897,1.0740958,-0.8841151,-0.750248,-2.027105,-0.24243283,-0.59778863,-2.8851051,-0.81124413,-0.55175817,-1.0563434,0.051645815,-1.4992027,-3.6998713,-3.5320923
Castor1,-2.7185721,-4.507731,-0.0076464415,-0.09821811,-4.1826735,-1.8282102,0.98208195,-1.5521001,-0.3594545,-4.040796,-1.2437718,-0.1337915,-0.14049345,-0.6120702,-0.692234,-2.5934386,-1.3348169,0.84029424,-2.880443
Tmem132c,0.55583376,0.5762669,-0.52975345,0.541411,-0.27184975,0.17810953,-2.101567,-0.44799155,-0.52420765,-0.027755693,0.72597665,-0.68647087,-0.07739028,-2.2579355,-0.6514629,-0.043355063,-0.20265658,-0.41937143,-0.32878202
Ajuba,0.22919065,-0.88166565,-0.0935486,0.14685848,-0.29789424,0.44342768,-0.51259196,-0.14754185,-2.9425218,-0.11473934,-0.26650333,0.21497136,-0.088345855,0.15287954,-1.5093404,-0.22916071,-0.18216448,-1.9139965,-1.6261895
Ccdc177,0.6076849,-3.3355005,-0.53257245,-1.8844583,0.35307103,-1.0361848,0.12309599,-0.58447355,-0.056308806,-2.6154292,-1.3504304,-0.36980638,-0.12644638,-0.5701641,0.6066475,-0.59858346,-0.21023273,0.9031192,0.34019136
Gja1,-0.9523785,-0.2680338,0.35150033,0.6315665,-3.9077816,0.04859388,-1.5829723,-0.22269695,-2.4120073,-0.91776496,-0.47615373,-0.025447398,-1.6203564,0.06662586,-3.4845684,0.7587973,-0.17862529,-2.0737429,-2.1713874
Lrrc15,-3.5828335,0.6074934,-1.4333104,0.28782928,-4.136367,-0.5892108,-1.27652,-0.27982718,-0.81123996,0.4819032,-0.7106453,-0.6555409,-0.179968,-0.39053074,-3.4532084,0.13530946,-0.5710197,-1.9605713,-1.3904903
Emx2,-0.5761734,-0.7998556,-0.26663274,0.55110544,0.7780043,-0.54552287,-0.99744856,0.14681283,-0.6277863,-1.2104349,-0.87073517,0.95630586,0.34211344,-0.42959288,0.28634778,-1.2084591,-0.48123595,-0.04063213,-0.17514314
Gm5577,0.06186226,0.14573836,-0.7367029,-0.071987465,1.446148,-0.24980596,-1.4397343,-0.17386094,-1.1838151,-1.0927317,-0.7917862,0.025713235,-0.8051469,-0.37948254,-0.0038851798,-1.6506569,-0.17659163,0.82039726,-1.2973876
Thtpa,0.9682511,0.6281688,-1.1365511,-3.4208598,-0.010811597,-1.365833,-0.09638988,-1.1082468,0.62162304,-0.42458653,-1.6828672,-0.57348055,-0.82512915,-1.0641798,0.8639184,-0.8985611,-1.405232,0.21620393,0.76116085
Kcnd3os,-1.185561,0.22688854,-0.43061745,-1.5274848,0.6945611,-1.1368132,-1.7202356,-0.39298138,-0.17592724,-0.4539441,0.40484887,-0.47325557,-0.5063125,-1.1202543,-1.183054,-0.25909263,-0.40467176,-0.77015346,-0.3896438
Pebp4,-1.3600504,-0.16142033,0.13912374,-0.16909918,-4.2608237,-0.51231873,-0.7796229,-0.31325197,-0.7445059,-0.46162128,-0.02334392,-0.13828921,-0.1683799,0.07097477,-0.92855835,0.11129093,-0.2659254,-1.7633767,-1.2150806
A830052D11Rik,-0.997777,-1.1482782,-0.79637957,-0.18559314,-3.7867012,-0.889678,-1.3138182,0.49160796,0.30181205,-0.01619497,-0.24529958,-1.2648764,-0.39617655,-0.48266092,0.093007535,-1.6484902,-0.18290702,-1.1879505,-0.43391603
Ncan,0.68873084,-0.23588444,-0.44219092,-0.68314093,-0.63578534,-1.4277177,-1.0187833,-0.5799984,0.616225,-1.7201879,-1.1163228,0.1276707,-1.0691762,-0.80476034,0.8787912,-2.265236,-1.4697727,-1.3767033,0.18150592
Adat3,-0.9371134,-4.226221,0.02939871,-1.0292141,-3.8495328,-1.050282,0.8277095,-1.9469416,-1.0538869,-1.843876,-0.7656062,-0.6468818,-0.5190995,-0.22790527,-1.0344911,-0.11660601,0.11764622,0.16317967,0.1763607
Col23a1,-0.89369714,-0.7627458,-0.03052406,-0.0050391704,-4.5110464,-0.11050154,0.164956,0.31529027,-1.6488056,0.018767878,0.51871765,-0.6773113,0.15159664,-1.3377763,-1.3801733,0.06733982,-0.041914977,-1.1474724,-2.2603111
Calcb,-1.7506762,-0.5557774,-1.326864,-0.49004996,-3.2998545,-0.6550251,-2.2093403,-0.9982435,-2.1564114,0.31443143,-0.96729755,-1.3644525,0.13555443,-0.15613633,-1.3838575,-2.0455337,-1.8945899,-2.8670692,-2.9476745
Trpm3,-0.056243837,0.78975797,-0.20957676,-0.75758123,0.09209192,-0.6238506,-1.4726663,-0.4898844,0.015506446,-0.48722476,-0.3077513,0.12650293,-0.847823,-0.2677991,-0.063887805,0.29418647,-0.21250877,-1.6123184,-0.6646775
C630043F03Rik,-0.55858964,0.66901773,-1.9537917,-0.36854637,0.67325,0.22088426,-1.4572626,-0.7266459,-0.29313904,-2.087799,0.13148385,-0.061368883,-0.19416356,0.73839,-0.60239875,-0.032086477,0.06926966,-0.24316053,0.12957802
Stmn3,-1.4000366,-0.09249419,-0.66289246,-0.6032714,0.7083465,-1.9782331,-0.83614826,-1.7432873,1.071914,-2.2104926,-3.1348946,0.0015176237,-0.5713557,-1.1358408,0.4620635,-0.30533114,-0.97566664,-0.46552962,0.203533
Gm16793,-0.62868726,-0.31783795,0.31674302,-0.1327228,0.6791847,-0.92352504,0.53633237,-0.7863077,0.48331773,-1.1788386,-2.159774,-1.3179805,-3.2029161,-1.4141849,-0.44907004,-0.9344132,-0.47269744,-0.80906427,-0.906006
Hey1,0.92911243,-0.5309433,-0.83305514,0.19763944,0.42631656,-0.1491236,-0.7780895,-0.028804094,-0.10576801,-1.5687046,-0.31721926,0.40157074,-1.6125793,-0.9722557,-0.23308973,-3.373761,0.39930242,-0.81818026,-1.5085799
Sema3f,-1.7661859,-0.18384093,-0.9825563,0.69942987,-0.45440552,0.48749477,-1.2211463,0.07933803,-1.020886,-0.19638406,-0.008969396,-0.41098505,0.042842776,0.24245122,-0.16290602,-0.60852265,-0.16687644,-0.02969867,0.18329284
Pabpc6,1.7787802,0.8585613,-3.7766275,-2.955763,0.57854986,-2.834355,-3.6898513,-4.2404995,0.2528801,-1.626273,-1.326843,-0.67597985,-3.6463208,-2.503706,0.18587345,-1.4520295,-1.8335141,-1.7870345,0.3744892
Mdga2,0.203475,0.38064128,-1.6774558,-0.9974775,0.13094985,-0.7766905,-2.4130425,-0.73653215,0.7166519,-0.7613893,-0.6151687,-0.5188077,-0.28782505,-0.55520904,0.36405128,-1.5420922,-0.7154182,-0.3444814,0.3341701
Ppp1r16b,-1.6446731,-0.4910865,-0.12790023,-0.81370217,0.67083156,-1.041679,-1.105916,-1.3674561,-0.14512683,-0.23244573,-0.22897127,-0.46820283,0.06261307,-0.49608362,-1.5370961,0.030317187,-0.3536599,-0.020272046,-0.25998223
Prkcz,-1.2985471,-0.13254695,-0.8752628,0.23355383,-4.216192,-0.22298291,-1.3751045,0.4681753,-0.18284065,-0.3109632,-0.34295532,-0.26228487,-0.4688534,0.9495486,-0.2206518,0.022647828,-0.43362588,-0.12666488,-0.26738358
Irf8,-1.6806678,-1.341553,-0.53393316,-0.38461843,0.32404703,-0.028744608,-0.61337674,-0.63816214,-0.6750658,0.1211012,0.54291564,-1.780844,-0.01693669,-0.2442835,-0.9625081,0.3354721,-0.13820417,-0.4534266,-0.3135902
Celf3,0.07618588,0.22865868,-3.2862449,-2.0699227,-3.8149679,-2.401898,-2.2357903,-1.386348,0.9289573,-4.260355,-3.5479665,0.9244915,-0.57002985,-1.575109,1.212376,-2.9097257,-1.0570123,-0.4934993,1.0001736
Hba-x,-4.3281164,-0.60298246,-0.38346484,-3.5296142,-4.222312,-3.2736363,0.9852383,-1.5213253,-4.5656986,0.0192644,-2.980624,-1.4013655,2.1628876,-2.3585691,-4.3083105,-2.6280107,-0.91728044,-2.446477,-3.1479077
Btbd11,-0.34366226,0.046091735,-1.0554693,-0.056725368,-1.0883367,-0.28802985,-2.1191597,-0.63983136,0.4344952,0.4399786,-0.9551376,-0.5888634,-0.6106229,0.27382952,0.22557741,-0.23592466,-0.3464094,-0.3383469,0.44852185
4933427D06Rik,-0.48641357,-0.6425978,-0.72959644,-2.6445036,-0.21724209,-1.9021258,-1.8296093,-0.44280738,-0.2093387,-0.61850685,-0.6132048,0.12265974,-0.79484034,-1.4192258,0.7915702,-1.1085654,-1.6921878,-0.6507858,-0.30409884
Fam78a,-2.2542632,-0.33987632,1.1657356,-0.6201905,-4.351999,-1.3427495,0.8091661,0.54001224,-1.3725743,-1.1380581,-1.2899551,-0.36969334,-0.11777042,-1.6237149,-1.6151457,-1.713522,0.04717499,-0.1351848,-2.9141707
A930012L18Rik,-0.2618116,-1.7658495,-0.036416978,-0.26498803,0.45746177,-0.28992164,-1.0869031,-0.6855279,-0.8738073,-0.08698383,0.52275467,-0.8527837,-1.515129,0.15928733,-1.3069994,-0.12273581,-0.31554854,-0.46807918,-1.929575
1700067P10Rik,-0.67139477,-0.64548415,-1.509287,-0.3194197,-4.127508,-0.27346882,-0.8145114,0.14057723,-0.57236505,-3.6508021,-0.758142,-0.055704653,-0.7283144,-0.025143534,-0.24058741,-0.11320491,-0.119776174,-0.47027475,0.34705698
Krtap31-1,-5.492573,-1.8866489,-3.204358,-2.6747959,-4.417658,-2.8179193,-4.0960035,-1.8053205,-3.4598856,-4.1188602,-4.602267,-3.0003927,-0.66467035,-3.1280947,-2.4986537,-4.346326,-1.0161248,-2.7350817,-2.5326183
2210416O15Rik,1.5151743,-3.6115227,-0.31107837,-1.6499633,0.6138082,0.38962758,-1.3846772,-2.2382045,-0.31696504,-1.0919199,-1.6423833,0.04197219,0.10126963,0.09150201,-0.102047116,-0.40161616,-0.81301665,-0.42638963,1.0049337
Ddx6,0.12281504,-0.31939393,-0.41093853,-0.666977,-4.493282,-0.16108882,-0.13212714,-0.19123925,-0.6241911,-0.36315465,-0.16258588,0.06547332,-0.2818845,-0.6038165,0.072769016,-0.1099108,-0.18737693,-0.17193782,-0.052852795
Fam102a,0.6527184,-0.33064,-1.0442762,0.026021942,-4.325501,0.017501578,-0.86706984,-0.31039846,-0.72525346,-0.4381674,-0.11905276,-0.0016762167,-1.1588473,0.16919285,-0.8554385,0.06641775,-0.31050295,-0.07857755,-0.2942827
Chd3,-1.2571361,0.042355523,-1.8351645,-0.1666321,0.5638006,-0.029596746,-0.7308773,-0.033554353,-0.6273731,-0.25250605,0.30432066,0.08487539,-0.9940959,-0.6558194,0.16136906,0.08402163,-0.7643686,0.2521294,0.119784296
4930445N18Rik,-0.5469528,-0.6736661,-0.15985942,-0.22817515,0.3459701,-0.2920568,-0.95560634,-0.52086186,-0.67531854,-0.38299233,0.31802094,-0.24286708,-0.47419345,-0.062695876,0.26677614,-0.31366572,-0.47207594,-0.32253063,-0.35724515
Doc2g,-2.7982533,-0.31420043,1.0071362,-1.0068915,-4.3105345,-0.2736072,-0.119697735,-0.89180374,0.03812404,-0.25975642,-0.39969102,-0.5782258,-0.38555664,-0.09719461,-0.22685896,-0.73689395,-0.24016505,-2.333726,-2.4902484
Iqca,-0.9438468,-0.08729869,-1.793087,0.66515005,-4.115925,-0.48487425,-0.77453613,-0.14437841,-0.58235276,0.12055442,-0.19171354,-1.2647729,-0.3215694,-1.5051972,-1.2781785,-1.018459,0.20082194,0.8547605,-0.42236993
Aatk,-0.6993103,-1.2226458,-0.18312085,-1.1395161,1.0633856,-0.26036632,-0.83388805,-0.3793757,0.2889927,-1.638218,-0.35285744,-0.34434283,-1.0371572,-0.3437349,-0.10652596,-0.17537957,-0.3820401,-1.2171319,-0.7229917
Hand2,-4.42162,-4.043418,1.359383,1.245888,-4.4952965,-0.62533677,-0.44919354,1.1697854,-3.0540218,0.027950928,-0.16448542,-0.051565863,0.3564785,-1.582663,-0.5716725,-2.6599803,0.7983038,0.5624196,-2.1560817
Osbp2,-0.33332175,-1.7157551,-0.040449202,-1.06258,0.40886533,-0.60561687,-1.2783492,-0.4631665,0.27847168,-0.41502625,-0.7888051,-0.43478262,0.36691016,-0.37851351,-0.20682077,-0.46890816,-0.57810813,-0.3773797,0.3012669
Ptpn21,-1.335705,-0.4758595,0.11110884,-0.928629,0.5530771,-0.13882488,-1.1071973,-0.21623725,-1.2857444,-1.1881256,0.02849853,-1.1562217,-1.2954184,-0.6264801,-0.46967214,0.023828208,-1.2394395,-2.2377267,-1.2496344
Btg1,-0.18471062,-1.199407,-0.25632206,-0.059639536,0.083393335,0.3975072,-0.6078167,0.12387869,-0.16464354,-0.52504694,0.05084236,-0.5613588,-1.0427794,0.4316637,-0.1424453,-0.0706301,-0.196457,-0.044905663,0.011477739
Mapkap1,-1.1808636,0.25476575,-0.14819783,-0.25087073,0.4281516,-0.33338493,-0.585579,-0.36196664,0.08771248,-0.2903932,0.045412064,-0.24714394,-0.65465385,-1.0822889,-0.2740111,-0.7430682,-0.14540082,-0.104377106,-0.021338984
Stn1,-1.915196,-0.23978683,-0.07459356,-0.1835503,-3.0542202,-0.19869684,0.11842233,-0.18521518,-1.716748,-0.339584,-0.1482901,-0.9957583,-0.24923679,-0.3421461,-1.8958809,-0.11533307,-0.17776868,0.13374671,-0.22256993
Mal,-1.9480042,0.49122858,-0.5559175,-0.71720994,-4.006378,-0.57361007,-1.4243381,-0.4712717,-1.3694284,-0.60258615,-0.8982434,-0.62181216,-2.0078616,-0.4348598,-0.08292198,-0.6355835,-1.7796237,0.23704493,-2.4854686
Gria1,-0.139047,-0.25459617,-0.15257517,-0.50959426,1.2182888,-1.2873553,-1.6961485,-0.5560167,0.2783724,-0.7120571,-0.22799644,-0.49351308,-0.5030619,-1.8693292,0.2542628,-0.13023281,-0.54345936,-1.7203501,-0.50368
Tifa,-0.335323,-2.7640693,-0.890283,-1.280704,-4.030905,-3.2347512,1.0826757,-1.4912939,-1.2119579,-0.34727067,-2.7221482,-1.4533995,-2.693601,-0.9706239,-2.1765969,-3.875203,-1.0657235,0.7223861,-0.43988138
Pmp22,-3.5142071,-1.1096721,-0.5206534,0.3122121,-0.8074446,-0.26371798,-1.3065591,0.5774501,-2.3585484,-0.068007395,0.24680567,-0.877689,0.102318734,0.55095047,-1.6097188,0.34253478,0.2801147,-0.6806332,-1.3449001
Vav1,-1.5449176,-0.22777843,-0.8979417,-1.0174546,-4.1719193,-1.1855034,-0.4868831,-0.8124503,-1.2199364,-0.7386062,-0.4060066,-0.69139284,-0.12834507,-0.47982115,-1.5054574,-3.679578,-0.5782228,-2.1268463,-1.6056037
Tmem176a,-3.4202302,-3.8236492,0.20570228,0.20478833,-0.11996722,-0.010852382,-0.62981546,0.46468258,-2.686107,-0.1139409,0.6586191,0.1434834,-0.18482669,0.7211326,-1.5079914,0.4358477,-0.83702916,-0.03255263,-0.16405809
Reep6,-0.49649343,-0.6553216,-0.43795687,-0.52577996,-4.1909895,-0.5667474,1.0950127,-0.8616485,-0.71166867,-0.6549073,-0.5990437,-0.8743402,-2.4463086,-2.5865858,-0.6907088,-0.3677091,-0.47326225,-0.1626932,-0.42481086
Erbb3,-1.4426918,-0.0365164,-0.14862654,-0.5566433,0.042654842,0.3798446,-0.57152176,-0.105795205,-1.837843,-0.4566631,-0.61007154,-0.1696065,0.21871841,-1.10959,-1.3504314,-0.043849587,-0.47493142,-1.49085,-1.153134
Slc9a5,-1.6618,-0.5679132,0.14197242,-0.5291378,-3.9624763,-0.091230124,-0.46551466,-0.9172442,-0.55456626,-0.23251377,0.87354636,-1.0564156,0.091707796,-0.5421108,-1.0988109,-0.10582316,-0.14101034,-2.380602,-2.160434
Ctsf,-3.5828826,-3.6687138,-0.026159108,-4.4064884,-0.49782553,-3.1533127,1.0377268,-1.5156996,-1.8281728,-1.7334884,-1.2230943,-0.9610332,-2.823941,-2.401844,-4.255391,-4.032366,-0.6029657,-0.6476333,-3.219929
Cbx2,-0.34698617,-2.0605936,-0.15058719,-0.2379651,-4.369758,-0.015915975,-2.0299826,0.099833876,-0.46681523,0.06839132,-0.12649041,-0.06893669,-0.33297104,-0.32764578,-0.0019586831,-0.16539806,-0.24487796,-1.9291334,-1.0048107
Hes1,0.20169348,-0.2597591,-0.040258523,-0.38634783,-0.13570167,0.6426078,-0.5496894,0.09320146,-0.850945,-0.10029238,0.45496702,0.46501994,-0.68015236,-0.5641751,-0.8768148,-0.18393993,0.021296538,-1.1750014,-0.25280213
Tha1,-0.38361853,-2.407499,-0.46561712,-0.26244056,-1.91787,-0.33303934,-0.24355403,0.30854023,-0.8488413,-1.6908842,0.08982921,-0.1679749,0.16656947,-0.28056228,-1.9999174,0.04761748,-0.050170504,0.08921093,0.19109559
Igsf9b,0.38053793,-0.3633095,-0.57794976,-1.492522,0.66041017,-1.6298155,-2.3708754,-0.91122484,0.6086058,-0.15802154,-0.5113164,-0.58332694,-1.2521093,-0.25831425,0.18680614,-0.140057,-2.3733535,-1.4257247,0.37755907
Ppp1r18,-0.39542165,-1.4932992,-0.091194056,-0.2645104,-0.68970466,-0.46476823,-0.4056964,0.20944148,-0.20300286,-3.557542,0.28265452,-0.17567879,-0.28654826,-0.59685796,0.50550413,0.42785197,0.095538855,-0.005966142,-0.2814886
Cbln1,0.2642194,-0.121135354,-0.5917051,0.031225294,-2.3319194,-0.56362224,-1.538316,-0.9519519,0.480169,0.55999,-0.9790051,-0.14750765,-0.22506955,-0.25588864,0.8820083,-1.7145357,-0.27550265,-1.1208651,-0.31816384
Calcoco1,-0.1535933,0.47489923,-0.8656329,-0.7869219,0.041324526,-0.7063337,-1.5134044,-0.8147522,0.7202604,-0.90134156,-0.75010014,-0.7059613,-0.056805044,-0.36955976,0.47483635,0.19569737,-1.4223825,-0.12147312,0.65140957
