,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27ac private topic 2,H3K27ac private topic 5
Plek2,-3.9683654,-2.924298,-0.7583052,-0.607667,-0.6185917,-1.267616,1.2048285,-0.47820652,-1.5470982,-3.5382695,-3.3632195,-0.9218625,0.8569149,-1.6886413,-1.2793672,-2.639086,-0.4697707,-1.3254604,-2.2378688
Fhit,-0.43554747,-0.7627194,-0.58843064,-0.3184292,0.23917806,-0.03524606,-0.889714,-0.86246616,0.11125089,-0.20227747,-0.10916343,-0.11765153,-0.32217187,-0.3890765,-0.013155445,-0.13248457,-0.29723236,-0.23220484,-0.31672966
Slc44a5,-1.9493165,0.5479552,-0.48294693,-0.4358873,-0.3667119,-0.6458799,0.2275733,-0.41491675,-0.02584982,-0.036078215,-0.57148147,-0.39436668,-0.4517077,-1.5882231,-1.4543513,-0.78187525,-0.37012485,-0.14275412,0.10040599
Tead1,0.08055405,-0.11134387,0.51630193,-0.13795349,-0.047660176,0.30984658,-1.3286263,0.12032047,-1.0902076,0.23435137,0.22688505,-0.046363145,-0.46937847,-1.273168,-0.83144844,-0.14320837,0.025169447,-0.4460692,-1.3060077
Cav3,-0.53457284,-0.29633564,0.7121185,-0.9832893,-4.4230003,-1.6413941,-1.4500917,-0.36934823,-2.6220865,-0.15381312,0.4828434,-1.3763424,-0.82958746,-3.0343003,-1.579792,-2.976932,-1.387341,-2.84369,-3.5222507
Tnfrsf1a,-4.509573,-1.9862046,-0.34666646,-0.07743263,-4.3508105,0.060908556,-0.75775397,-0.04125911,-1.3393134,-0.18393873,0.16104645,-0.49191737,-0.36796468,0.39903963,-4.778913,-0.7164785,-0.11319889,-0.32512474,-0.015453219
Esyt1,-0.5153434,-3.9725344,-0.41075453,-1.0846345,-3.9169416,-0.63729835,0.08095596,0.03574395,-1.1880233,-1.7800797,-0.42189318,-0.30826247,0.40353328,-0.20324673,-1.1148243,-0.37747496,-0.12802468,-1.0778491,-1.6523012
Riiad1,0.09021813,0.5873432,-3.1235025,-3.4750915,-3.713893,-3.0343938,-2.339076,-2.0913577,1.1003511,-4.474397,-3.4394088,0.65072393,-0.53799134,-3.8666582,1.2545149,-1.7568066,-2.2670383,-1.4033625,0.76222813
Nt5c3,-2.822447,-3.7201803,-0.29128906,-1.1203969,-1.0539975,-1.5578574,1.4031372,-1.7006936,-1.8325845,-0.79738915,-1.8441584,-1.154619,-0.1594292,-1.5209426,-1.181556,-3.5880454,-2.8307326,-1.0672386,-1.7304169
Sema7a,-0.13179688,0.16742486,-0.26565662,-0.3368332,-0.5805494,-1.3801078,-1.8573699,-0.90347755,0.09386372,-0.43688983,-1.6411138,0.18769997,-0.3802223,-0.8306238,-0.53778243,-0.023671895,-0.3194087,0.21231073,0.5071531
Slc9a3r1,1.0214306,-4.0624743,-0.76920056,-0.51733637,0.66728914,0.037382543,-0.29182628,-1.5279218,-0.75073004,-1.9674495,-1.0673727,-0.37011844,-0.0519308,0.225914,0.13271707,0.38931483,-0.46963292,0.83948874,-0.3304814
Slitrk1,0.034033477,-0.11663318,-3.06608,-1.7295618,1.3064016,-1.5359223,-3.4882379,-4.159724,1.1725546,-2.8345258,-1.5896598,-0.66919136,-0.6999294,-0.47986168,0.8326652,-1.7618793,-3.6621306,-1.4598207,-0.14603627
Alg11,-2.9135127,-4.695601,-0.44696662,-0.5407319,-4.187587,-1.0223649,1.0787048,-3.5169394,-2.6483912,-1.2931032,-2.0865,-0.48212472,-3.5001404,-2.574206,-4.6402903,-1.8225143,-1.0995171,-1.8405865,-1.9560114
Kank2,-2.7229357,-1.2632272,0.41916388,0.09909016,-4.075491,-0.28291795,-0.6698115,-0.072962135,-2.96038,0.2345222,0.73542345,-0.89867365,-0.4387483,-0.49723715,-0.9376058,0.14556155,0.88945544,-2.0302258,-1.0704658
Rbpjl,-0.5843773,0.50105053,-1.3506825,-0.525738,0.9227476,-0.016719341,-2.1369417,-0.086079,-0.7503547,-2.1741605,-0.40429145,-0.35301188,-2.090055,0.77685165,-0.7496364,0.048778743,-0.39800876,1.2318593,-1.2880049
1700018B08Rik,-3.2307727,-0.6186986,-0.95263696,-0.49193877,-1.8330396,-0.15133846,-1.7190967,-1.0499123,-1.506275,-0.94184005,-0.016242296,-0.27854007,0.12725738,1.2843432,-1.5097493,0.90384066,-0.65505373,-0.46047214,0.024161905
Lbx1,0.38846803,0.7192758,-0.038351186,-0.2710656,0.53761446,-0.22592525,-0.7600299,0.31092027,0.296885,-0.07440092,-0.6170538,-0.06805133,-0.30045056,-0.37250715,1.4605261,-0.43229648,-0.8177487,-0.75890595,0.8597947
1700054M17Rik,-0.78634065,-2.4268098,-1.0892463,-1.3724074,0.54232574,-0.90662515,-0.8096155,-3.9851036,-0.6059681,0.59281564,-0.6722584,-0.61959624,-3.9267104,-0.7406234,-0.3992956,-1.9534982,-0.54200923,-1.5434663,-1.8800919
Nrg3,-0.326384,-0.27893162,-1.5532879,-0.8838853,0.83069015,-0.54877895,-1.8476044,-1.0335455,1.0306153,-0.42468747,-0.9946127,-0.1717535,-0.61463815,-0.54984164,-0.0060157776,-1.4247407,-0.84711206,-0.5104513,0.2783609
Gm9895,-4.5747724,-4.3442707,-0.79342884,-0.44924498,-4.1945925,-3.803663,1.4281832,-1.1264853,-4.5856524,0.53262377,-0.71689135,-0.8906119,0.5084764,-2.7661605,-4.628112,-0.31438732,-0.85235983,-0.9783033,-0.59138805
Ephx3,0.87073743,0.27800703,-0.9357583,-0.99135476,-3.9838908,-1.2060134,-1.1965863,-0.20534527,-0.4635505,-1.5169177,-0.82984793,-0.42597234,-1.0125145,-0.7267037,-1.6491623,-1.5302811,-1.5977471,-1.4045857,-0.7775561
Artn,-1.0092485,-0.07701835,-0.34076288,-0.42259395,-4.211901,-0.9042736,0.48315096,-0.16144472,-0.6547568,-0.41728175,-0.68754065,-0.019336551,-2.4586916,0.32129955,-0.45080402,-2.7824266,-0.6658439,-2.0974965,-1.336412
Adgra2,-4.39389,-1.2749093,0.01648067,0.6112355,-1.3208128,0.17433143,-0.77474016,0.81729066,-4.0978737,-0.6401436,1.0419558,-0.5912703,-0.09631363,0.32196182,-2.9286294,0.6270687,0.6348484,-1.0148469,0.20466629
Elmo2,0.20421368,0.37535745,-1.0309541,-0.8927624,0.7670051,-1.0196557,-1.0285182,-1.8838717,0.48142275,-1.2759855,-1.2707626,0.10278365,-0.076704025,-1.2002983,0.775417,-0.771067,-0.20340934,-0.91461414,0.6744934
Med16,-0.4625281,0.23247096,-0.37873435,-0.17876732,-4.326537,-0.4362617,-0.18470506,-0.594604,-0.071629524,-0.06744699,-0.016452461,-0.89631516,-0.6690602,-0.53583395,0.07880059,-0.94780195,-0.18131334,-0.3547604,-0.30378914
