,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
106.1139978479323,-0.08792327,-0.24956135,0.45897895,-1.5873202,0.09453087,0.39623895,0.27968046,-0.20641658,-0.79837245,0.6332438,0.24506962,-1.4198219,0.1844577,-1.2626711
112.08704557393423,0.021206114,0.087986395,0.004313251,0.0052810237,-0.00055734534,-0.060511712,0.9230785,-0.031829827,-0.32593334,-0.16207428,0.8066195,-2.0696132,-0.02593055,-0.25312373
112.89592468809539,-1.7412665,-5.956382,-1.7867584,-0.33137313,-0.9296679,-0.7277309,-5.568737,-5.0262613,-4.9121017,-0.8627063,-5.2342734,-3.3368738,-3.083304,-0.44055444
114.0663487757167,0.010914212,0.027723249,0.024001207,-0.024410307,0.02430851,-0.0366731,0.45599085,-0.0621645,-0.15838173,-0.12965997,0.7039328,-2.4810061,-0.049574524,-0.024949484
116.07079757755079,0.090910025,0.12097405,-0.048931506,0.058394495,0.034736674,-0.14738774,-1.9786407,-0.24288061,-0.2026826,-0.0007109102,0.41602013,-2.019981,-0.0022867043,-0.06182449
118.0863881554019,0.0036370158,0.023678195,0.0030622836,-0.09025693,-0.015193677,0.0050473846,1.0003524,0.043414183,-0.13243729,-0.25227875,0.81552607,-3.3267105,-0.061516624,-0.015750427
119.08989347482412,-0.038395457,-0.06313239,0.29885718,-1.4885573,0.010846589,0.13157651,0.4303338,0.02111889,-1.691424,0.32883155,0.6186661,-1.0789597,0.06542876,-0.56528485
120.10201086819092,-1.0851043,0.37046188,-5.7739816,0.34176868,-0.025269281,-3.2976081,0.91781414,0.07562411,-0.15874672,-5.0309687,0.31409496,-5.079216,-1.2740791,0.17033763
125.02107439571098,0.3036468,0.34852636,0.7990588,-1.5844953,0.23906896,0.6328783,-4.9145174,-0.4904513,-3.6780732,1.013485,-0.2302837,-1.2059772,-0.19748242,-3.2653465
126.02200299722656,0.060892783,0.29427883,0.46636885,-0.69616693,0.43938285,0.34359038,-6.5415964,-0.79502106,-0.38781232,0.73560536,-0.013845859,-0.7817365,0.06950371,-0.7067088
126.10261728440034,-0.05530412,0.076704085,0.07496027,-0.054569334,-0.008136716,0.05228568,0.9076494,-0.058623202,-0.54149157,0.040644806,0.7000343,-0.998859,-0.085438326,-0.841846
127.02700210702301,-0.09706588,0.4339715,0.013806973,0.04279975,0.571648,-0.038777094,-6.6627016,-0.45000738,-0.008119099,0.16198705,-5.020162,-2.3815646,-0.13102382,-1.0402925
129.06608429870073,-0.041424364,-0.029368222,0.26637948,0.6279746,0.59632695,-3.2013843,-4.8444376,-2.041812,-5.3465953,-4.072541,-0.5738507,-1.8856003,0.4862727,-5.3446374
129.13877198212577,-0.13867523,0.2739597,0.19571373,-0.55217314,0.51331204,-0.089726545,1.0951588,-1.5956541,-5.237828,0.016904414,0.95281184,-3.146204,0.04326111,-4.7651553
130.08648087626347,0.18611325,0.14654332,-0.22837493,0.2459034,0.1480602,-0.5242073,-4.8017263,-0.66672695,-0.06715572,-0.13355465,0.1710421,-0.833078,0.022948667,-0.06074524
132.076966024489,0.042294547,0.083325975,-0.011632825,-0.016972512,0.022766076,-0.08345098,0.42106158,-0.09116682,-0.2582445,-0.17240359,0.76465714,-2.482319,-0.020953827,-0.03108783
133.0972679910517,0.13320214,0.11767489,-0.065925494,0.16022989,0.109246,-0.49180505,-6.4149704,-0.93136907,-0.18700346,0.0025735516,0.028422408,-0.6184992,0.09804771,-0.13606417
136.04824262183837,0.19653024,0.20235167,0.2510363,-0.30012628,0.32971144,-0.06425813,-4.8172703,-1.05379,-1.1166631,0.21285197,0.059730478,-0.47092885,0.123015806,-0.2886703
137.04580812911064,0.008526398,0.059481956,-0.024144677,-0.011681721,0.0015983172,-0.042466037,0.3910769,-0.0090420935,-0.09748547,-0.14448014,0.70820856,-2.842459,-0.06864175,-0.008876426
137.07112452263365,-0.0051458403,0.026284967,-0.009285664,-0.035271384,-0.015077323,-0.015855893,0.979902,0.029871624,-0.12122885,-0.25912702,0.7717924,-3.483472,-0.077141084,-0.01814877
138.05260963693527,-0.12432018,0.53119475,-0.14783171,0.31188765,0.3840957,-0.5313502,-6.18214,-1.3893993,-0.659042,-0.77904415,-0.8257949,-2.150095,0.11414066,-0.14595766
138.07436435283458,-0.12895676,-0.0872322,0.3916508,-0.14059196,0.27906933,0.09558135,0.013437662,-0.41259918,-1.4164314,0.3325294,0.22271389,0.054458827,-0.08948421,-0.7921317
140.06830740592687,-0.00612786,0.04049584,0.015601346,-0.07958032,-0.00563308,0.029381573,0.9862411,0.054371856,-0.10909167,-0.16740935,0.76991916,-3.405829,-0.0655515,-0.014682013
141.07147334429604,-0.15080659,-0.020163001,0.25418907,-0.67639136,0.14138548,0.18534055,0.30907008,0.022448134,-0.5049676,0.30374655,0.2075213,-0.82210505,-0.018737266,-0.11361649
142.94804145265775,-0.055805743,0.14039268,-0.02610911,0.018904537,0.13178882,-0.015704587,-6.605947,-0.6086348,-0.37973672,0.22319461,-0.5814681,-2.7637966,-0.01569203,-0.12657903
144.10186839482108,0.017536316,0.018359747,0.0033792183,-0.11598122,-0.02785382,0.013730479,1.0231634,0.067095794,-0.13116291,-0.25176632,0.8357162,-3.3711083,-0.046886664,-0.012815934
145.02627189276464,0.015526902,0.055244133,-0.03563273,-0.03033552,-0.010049965,-0.039405823,0.31042707,0.03374797,-0.07010648,-0.13259092,0.640839,-2.983019,-0.055991277,0.00041022152
146.11740750430758,0.012173608,0.00062087737,0.017490894,-0.15681332,-0.017397942,-0.011544061,0.9626425,0.019227397,-0.16256753,-0.22320354,0.81078124,-2.8169067,-0.03564076,-0.020778887
146.16516858340012,0.018886313,0.058344826,-0.011978718,-0.09976131,-0.01817961,0.035923403,1.111806,0.052642435,-0.17260574,-0.17828302,0.9020268,-3.222905,-0.04905972,-0.12629506
147.07649827172668,0.5153529,0.053756595,0.24226984,0.6739866,0.9360007,-2.2809277,-5.728923,-5.898575,-4.76992,-0.25020343,-1.1936184,-1.8781916,1.1018279,-1.4948852
147.11287147972735,0.061156236,0.06365826,-0.07274851,0.015260929,-0.023731006,-0.10400583,-0.15067598,-0.036838703,-0.08986111,-0.14958799,0.6944844,-2.334154,-0.03223946,0.005196983
147.12095993160463,0.5861598,-1.4969392,0.7972914,-1.2909392,-5.279978,-5.7113314,-4.918952,-0.91431624,-5.4760113,-0.9449663,-4.4768476,-3.9111838,0.4901185,-5.101755
148.003962074579,0.018367674,0.053906314,-0.0013980865,-0.10841493,-0.010447678,-0.0058505703,0.08815538,0.02608857,-0.124414444,-0.03680262,0.59318596,-2.6803353,-0.032262538,-0.009675829
150.97673966710036,0.01747204,0.052410364,0.0044499114,-0.022352256,0.019887712,-0.03305533,-4.54812,-0.11129609,-0.10561626,0.08830815,-0.2004967,-1.0887704,0.005717976,-0.020787755
151.0477244896807,0.27224594,-0.31941932,-0.76669854,-0.38553074,0.6271844,-1.8199875,-5.3918376,-4.121898,-0.81144875,-2.151973,-1.8538332,-2.1895223,0.14714271,-0.48076916
152.0220150579212,-0.18391645,-0.016840067,0.69896716,-0.58704215,0.5817751,0.0011385456,-2.4813232,-3.011021,-4.9815235,0.82024574,-1.645928,-1.2173212,0.32785237,-0.5955883
152.04718107340682,-0.0039095096,0.37853992,-0.029333435,0.00834813,0.67847764,-0.46130946,-6.4417562,-1.5089206,-0.28566724,0.04986518,-0.58788204,-0.88423604,0.02735386,-0.19852091
154.05886327753575,-0.013396356,0.13352674,0.13245349,0.002913341,0.16434772,-0.040772833,-2.0175765,-0.5153923,-0.3246084,0.27086687,0.0051285643,-1.1503901,-0.03347867,-0.2311129
156.04200916768534,-0.023810904,0.02458845,0.038998406,-0.1296959,-0.0061503407,0.03543545,0.9534809,0.042327452,-0.13552526,-0.13843063,0.71901983,-3.376012,-0.078945965,-0.028027084
