,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
22,0.029118907,0.016658887,0.020675084,0.53255796,0.024774773,0.01933315,0.04778832,0.019483522,0.030259624,0.033756115,0.03484372,0.044336386,0.032327868,0.025401365,0.015756505,0.015903883,0.013274699,0.019815987,0.0239332
23,0.033093028,0.025725806,0.014116831,0.3665576,0.034273624,0.024106828,0.057978723,0.03448557,0.09469638,0.045694884,0.035258725,0.0534995,0.034138724,0.022481065,0.018670587,0.020166656,0.033392567,0.029118981,0.022543902
24,0.023896262,0.027400693,0.023244306,0.4601142,0.0199837,0.03982325,0.022193529,0.038791988,0.07735718,0.037144057,0.025450317,0.043509603,0.025588807,0.015088714,0.012846242,0.02306328,0.03995418,0.025595259,0.018954396
25,0.04037639,0.045456327,0.029513713,0.31745782,0.023481147,0.017610792,0.055848286,0.03784049,0.024905968,0.03460455,0.020716788,0.044285975,0.021749724,0.015029047,0.020953825,0.022504115,0.17517899,0.0339568,0.018529208
26,0.02289572,0.07505146,0.014069285,0.22435072,0.030259475,0.019196214,0.024594977,0.022712389,0.056115407,0.031104246,0.02075824,0.041349437,0.02110088,0.017856749,0.02198022,0.026447663,0.27739105,0.032992113,0.019773766
27,0.043674175,0.051922407,0.026894214,0.12914823,0.044520013,0.019595822,0.03688973,0.05637401,0.054129664,0.05042138,0.03227936,0.060944457,0.032596014,0.028225996,0.02808137,0.039448842,0.20261937,0.035840858,0.026394155
28,0.020583319,0.044369534,0.09196623,0.321197,0.060602803,0.01575261,0.029043518,0.029219367,0.042796325,0.042098276,0.025357353,0.05043629,0.029625503,0.03264929,0.030610891,0.03077769,0.058447182,0.023982503,0.020484334
29,0.016472612,0.052898288,0.023811422,0.22206481,0.05148497,0.040778372,0.034916464,0.027314853,0.030529203,0.064993806,0.031676564,0.065341175,0.039590143,0.04621478,0.035321735,0.041373085,0.116414145,0.03268037,0.02612324
30,0.017551757,0.018328434,0.011653739,0.15221976,0.07899045,0.032727215,0.029863616,0.027476149,0.1252278,0.047730997,0.022294164,0.04646432,0.027252978,0.033317614,0.014325914,0.031806007,0.2465107,0.01868249,0.017575957
31,0.03696174,0.08814353,0.017388627,0.14253157,0.021421896,0.026377415,0.034463443,0.025495522,0.052704584,0.05022175,0.02773589,0.04657359,0.024464743,0.027529707,0.014162631,0.031511124,0.2953777,0.018280149,0.018654421
