,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
TPM2,0.32919216,0.24819285,-1.023993,-0.22963265,-0.714501,-0.941425,-0.77140325,-0.18015492,-0.608238,0.10010058,-0.23281652,-0.49020678,-0.48611844,-0.51953423
KLF9,-0.112339586,-0.023025304,-0.53018826,-0.38101846,-0.462533,-0.7804575,-0.38023835,-0.64862,-0.9468079,-0.015315264,-0.49201092,-0.6132729,-1.8322549,-0.54819524
CEMIP2,-1.4794068,-0.75974596,-0.30479807,-1.4363153,-0.7426996,-0.3466996,-0.48702174,-0.15363446,-0.63866514,-0.26510537,0.12868482,-0.7768419,-0.6140101,-0.9980862
ALDH1A1,-0.21327284,-0.3873764,-0.37975538,-0.29443753,-0.38830298,-0.06639923,-0.018245623,0.0044562668,0.33520776,-0.4387152,-0.1493923,-0.017524906,0.3477972,-0.23710456
ANXA1,-0.27992845,-0.17709813,-0.38165563,-0.41849834,-0.8853589,-0.1492593,-0.1781609,-0.07924464,-0.03491375,-0.31536597,-0.10858446,-0.6166272,-0.1316779,-0.5082934
UBQLN1,-1.0749015,-0.94022083,-0.20145336,-0.62331814,-0.45435637,-0.5791875,-0.8428921,-0.53812695,-0.03843528,-0.77011704,-0.5580227,-0.2451339,-0.75545895,-1.3463932
CTSL,-0.64789057,-0.2672728,-0.39631933,-0.16150142,-0.15457518,-0.2667304,-0.36017942,-0.24481942,-0.33003864,-0.37002587,-0.2891129,-0.17472455,-0.21420316,-0.33964822
SPTLC1,-2.3909922,-0.19376361,-0.14542285,-0.71857,-1.940762,-0.1804364,-0.72502035,-0.82119024,-0.6741992,-0.59252214,-0.5362112,-0.58647716,-0.8257259,-0.61413395
FBP1,-2.5976748,-1.7867875,-1.0837569,0.20028868,-0.10042429,-0.504905,-1.6648316,-1.3986607,-1.3570259,-0.69969225,-0.8117924,0.1058777,-0.91228557,-1.1592735
COL15A1,-0.22067213,0.35213238,0.12509492,-0.37433985,-0.4099545,-0.74506474,-0.21768704,-0.6565081,-0.9550891,0.3285889,-0.98565835,-0.89925927,-0.55689305,-0.4052881
ABCA1,-0.8583006,-0.2323835,-1.3577094,-1.3365833,-0.83321935,0.1262396,-0.11067653,0.16522384,-0.68410695,-0.4780281,0.044399202,-1.7429136,-0.13841796,-1.5660928
PTGR1,-2.5826898,-1.2899346,-0.66318804,-0.7672235,-1.0582138,0.09525883,-0.45157924,0.005325198,-0.17331165,-0.5191152,0.19645625,-2.6964736,-0.46674213,-1.4408357
KIF12,-1.0924952,-0.1999054,-0.29165733,-0.6167707,0.41852134,-0.38261795,-0.66373366,-1.0811932,-0.9718402,-0.13273105,-0.4867541,-0.5369265,-1.219415,0.17629367
TNC,1.1008946,0.5165112,-1.0202286,-4.3763337,-4.3076625,-4.975538,-1.3430918,-1.4125326,-2.5433087,0.6682428,-3.6388643,-4.620387,-2.046693,-4.142907
GSN,-0.08789063,-0.02019357,-0.121981695,-0.06779072,-0.14995833,-0.16019356,-0.14182155,-0.15456453,-0.19034748,-0.11397907,-0.17788178,-0.24781021,-0.13164455,-0.20108718
PTGS1,-3.748346,-4.4169493,-1.6920199,-3.7197638,-4.164406,0.013304532,0.18617499,0.036741793,0.8126383,-1.5320742,0.37732136,-3.1568792,0.26641762,-3.7932732
OLFML2A,-0.085485384,0.03584829,-0.3799168,-0.21261396,-0.49016756,-0.04112315,-0.35088915,-0.2018215,-0.4519526,-0.15743156,-0.21006884,-0.21551389,-0.20153192,-0.25117773
ANGPTL2,-0.5744612,-1.1737614,-0.15993877,-2.543039,-0.73761904,0.6870136,-0.04867053,0.16480058,-0.23980635,-3.3190997,0.5019763,-3.6685221,-0.25691342,-1.1517951
TBC1D13,-0.66370255,-0.67410403,-1.7655529,-0.43990195,-0.8799892,-0.65578336,-2.7325392,-0.48641738,-0.8091188,-0.5192379,-0.33040205,-0.7356286,-1.2662889,-0.92473006
LRRC8A,-0.24162284,-0.5687051,-3.2717147,-0.3178209,-1.2399993,-1.521575,-0.66645277,-0.8181786,-0.7549047,-0.16925165,-0.52834153,-0.10058853,-0.78352237,-2.1673756
