,Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10
137,-5.079692,-1.8058002,-2.154903,2.1112957,-2.7087233,-4.8944054
138,2.4559119,-1.0965776,-2.0654702,-3.4634106,-4.239329,-4.692824
139,-5.367439,-2.9361832,1.8429731,-2.8802862,-4.0761366,-5.010628
140,-4.825204,-3.269854,-1.9941947,-3.0246027,2.4039865,-3.624166
141,1.9407651,-1.3875523,-2.2973645,-3.3530006,-2.9720998,-4.9988513
142,-4.474348,-4.456237,2.0461967,-3.9603343,-3.1893578,-4.5832148
143,-4.892633,-3.429555,-3.6936698,2.0448627,-2.3469682,-4.3450007
144,2.217372,-2.1378865,-2.9739492,-2.4736123,-2.4609466,-4.8696656
145,-4.717221,-1.9467888,-1.1852895,-3.7435455,2.6139977,-4.0298734
146,-5.2111125,-4.168738,-3.0685558,-3.9300766,-1.308021,2.8196287
147,-5.2704153,-3.8712425,-2.4360666,-4.1715946,2.251044,-5.2959275
148,-4.260819,-3.1361742,2.3912058,-2.0771494,-3.1916826,-4.837538
149,-4.178059,1.5189693,-3.3615613,-3.305039,-1.498631,-4.7463465
150,-2.7463226,-3.9137504,-2.7629654,-1.7732228,2.3157246,-4.0099173
151,-4.485361,-1.7876273,-2.7108378,-2.7490828,2.5564795,-4.114216
152,-5.2469416,-1.9583635,-2.4566126,-2.2174706,2.3119292,-4.863482
153,-5.3065743,-3.511355,-3.5010142,2.3403997,-3.9576087,-4.7512693
154,-4.4972258,-1.4929559,-4.3168383,-2.713784,2.2153165,-4.794531
155,-3.6773956,-1.9157596,2.318772,-4.184541,-2.151648,-4.395576
156,-5.3181148,-3.695757,-3.4914637,2.0728197,-3.157901,-4.1881695
157,-5.260345,1.9239267,-1.6729743,-3.4307837,-2.9360454,-4.593363
158,-4.225143,-3.2745767,2.3405297,-3.5810182,-3.6122224,-4.621211
159,-3.532153,1.9726923,-2.809947,-4.066778,-3.1725187,-4.86968
160,-4.8934216,1.6563957,-2.295289,-3.435693,-4.4425,-4.064687
161,-4.856366,-2.2834308,1.9349952,-4.1569304,-1.3655176,-4.677219
162,2.5513139,-1.8414112,-1.5135076,-3.1088874,-3.416612,-4.603825
163,-4.97535,-3.885529,-2.4842396,2.27179,-5.007461,-3.507209
164,-5.4469643,-3.4025216,-3.8066452,2.1440625,-2.7157779,-5.1010942
165,-4.6248007,2.1333005,-1.7370278,-3.809583,-3.3742917,-4.579132
166,2.1429138,-1.3972404,-2.086021,-4.1192865,-3.0806422,-4.1596794
167,-4.830689,-2.205516,-2.1547623,2.2630706,-1.923244,-4.002847
168,-3.9736571,-2.3094707,-2.191805,1.9772457,-3.2753825,-4.7264647
169,-4.7430806,-2.4564638,2.1228788,-3.6729436,-2.7448661,-4.775819
170,-5.390428,-2.633687,-2.8219147,2.2594798,-2.4707494,-4.595537
171,-3.3185167,-2.2791255,-3.0345411,-3.1650286,2.3626285,-4.5340757
172,-3.7380388,1.9529667,-2.955721,-3.6974807,-3.1471145,-4.4502106
173,-5.044387,-2.3596513,-3.7788694,2.3846192,-3.1650164,-4.031951
174,-2.2764988,2.1121356,-3.1502566,-3.810265,-1.6391854,-5.006362
175,-5.1519055,-3.579214,-3.810278,2.0334291,-3.3476794,-4.580802
176,-4.84193,1.7311027,-1.8772686,-2.7031338,-3.5048363,-5.048425
177,-5.1227913,-4.2762203,-3.526874,-4.04056,-2.0068908,2.821544
178,-4.077592,2.1262565,-1.8679631,-2.8425424,-3.24692,-4.2829533
179,2.382425,-1.3065886,-2.233323,-3.2522223,-2.5660226,-4.0919538
180,-4.8107166,-1.7834306,-3.5226886,2.3940716,-3.1288826,-5.185347
181,-5.6712074,1.8590548,-2.5510411,-3.2545223,-4.266533,-4.584721
182,-5.19569,1.9494675,-2.5985217,-4.880289,-1.8678957,-4.7316966
183,-5.129873,-1.7901576,-1.9000199,-3.488181,2.3692245,-4.6995044
184,-4.5353947,-3.5518947,-2.1366215,1.9966825,-4.6763463,-4.2693977
185,-3.2986727,-3.429358,2.047265,-3.16729,-3.014954,-4.3574452
186,-5.393036,-2.360958,-3.5266042,-3.4422517,-3.3378844,2.6079063
187,-5.208337,-2.6441224,-2.1464868,-3.8584146,-4.459096,2.9062164
188,2.665472,-2.003142,-2.5255365,-3.3260853,-2.2759824,-4.9166045
189,-4.6112847,-3.4548435,1.9721211,-4.153353,-3.6555262,-4.8302145
190,2.2892458,-2.0570815,-3.0300403,-4.3685293,-2.326161,-4.3515286
191,-4.160533,-3.8324916,2.091599,-2.734638,-4.3197565,-4.506097
192,-4.894068,-4.10419,-3.9826474,-3.9565525,-3.5886157,2.4882736
193,-3.4141576,-2.5039742,-2.663427,2.2285032,-3.0867481,-4.6555877
194,2.1610072,-2.8834147,-3.4051793,-2.6440992,-2.837663,-4.780086
195,-4.799216,-2.6556602,-3.4108229,-4.0466194,2.3858817,-3.6096408
196,-5.009257,-2.5712895,-2.202989,2.1608038,-4.633049,-4.48782
197,2.3971992,-2.4544568,-3.8480227,-4.4509716,-3.2273438,-4.9946747
198,-3.570516,-1.7769983,-2.5737302,-4.250259,2.3235278,-4.6032443
199,-5.056528,-2.5498476,-3.0161355,2.5281448,-3.358348,-4.629175
