Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
-0.13263428,-0.32725483,-1.0739012,-0.21089387,-0.2571944,0.041300185,3.4431152,-0.444198,-0.389455
0.021341205,0.06868605,-0.2674809,-0.21835175,-0.21078375,-0.031983357,-0.38440782,-0.35534462,-0.071643926
-0.6309961,-0.17294957,-0.863147,-0.16743572,-0.23844333,-0.033606566,-0.015383955,-0.22315219,-0.17251728
-0.44392705,-0.4067189,-0.28889567,-0.1670918,-0.1864948,0.032522466,-0.5887629,-0.3483408,-0.29297248
-0.7512461,-0.26327026,-0.7226672,2.4103045,-0.35951722,-0.5970765,-0.011252984,-0.17733626,0.013849474
-0.1300489,-0.40149802,0.110160425,1.7713478,-0.20278864,-1.0376099,-0.35760584,-0.16283949,-0.23061237
-0.24028993,-0.13299108,-0.2336742,-0.39124662,-0.2739184,0.52867174,-0.23606835,-0.075882845,0.008616711
-0.2735852,-0.24757943,-0.28351438,-0.42217636,-0.2671031,0.5686074,3.5169015,-0.5494081,-0.3144495
-0.2207379,0.13950366,-0.18717232,-0.2981885,-0.21282527,0.1605714,-0.32793856,-0.3278703,-0.08177373
-0.22725834,0.15599528,0.041160464,-0.13704391,-0.004881086,-0.036716,-0.7658535,-0.5729356,4.101638
-0.33072394,-0.16377755,0.26070386,-0.27050513,-0.2500877,0.015016285,-0.5752973,-0.4887905,-0.07297351
-0.87917817,-0.47428995,-0.6882274,-0.21345377,-0.046827067,0.15254745,-0.60798216,3.152955,-0.387214
-0.29957467,-0.6772721,-0.566985,-0.17704473,-0.08713447,0.078632765,-0.563026,1.5110811,-0.45032576
-0.2673147,3.1600168,-0.21753606,-0.24394555,-0.20905252,0.32520175,-0.3982147,-0.33918816,-0.21242768
3.7420895,-0.5296765,-0.4506058,-0.106357954,0.2786277,-0.21101208,-0.3122242,-0.37399247,-0.37221465
3.2836497,-0.8557118,-0.22465074,0.091908336,-0.09795602,-0.06061231,-0.25194588,-0.5514078,-0.46090785
-0.3485394,-0.044906966,0.18375742,-0.4164034,-0.65047777,3.2023714,-0.099223256,-0.55677503,-0.18504457
-0.23705682,0.00463181,-0.16672081,-0.07071154,0.16166222,-0.11078217,-0.3997795,-0.5702554,-0.43562624
-0.28396153,-0.2286857,-0.16227268,-0.27040657,-0.113737375,0.031069739,-0.4132239,-0.6045481,-0.29020435
-0.26754853,-0.1839686,-0.115824856,-0.2687195,-0.26106,0.00235812,-0.36944026,-0.6311792,-0.27229723
-0.23744164,-0.39660254,-0.6435268,2.8173819,-0.37490135,-0.63770664,-0.15223894,-0.09041905,-0.29740253
-0.31375754,3.0418534,-0.7909827,-0.229327,-0.20130552,0.24809578,-0.3812763,-0.29657203,-0.25243935
-0.16958845,0.34202933,0.7228135,-0.14818737,-0.051514775,-0.17497548,-0.13958317,-0.366351,-0.24318324
-0.29581717,0.10986951,0.19023992,-0.20048845,-0.13551098,-0.14117838,-0.001983753,-0.15896612,-0.24903426
-0.08965078,-0.07740158,-0.31090486,-0.14763999,-0.097269006,0.101151094,-0.4125908,-0.2686958,-0.15766686
0.16530305,0.24346724,0.72730947,-0.40899557,2.7790356,-1.2193245,-0.092454776,-0.2799827,-0.10245598
-0.22434333,-0.09086917,-0.06729901,-0.12600532,-0.12855887,-0.2284557,-0.062231734,-0.2557914,-0.23247743
-0.04485803,-0.12790066,-0.28260964,-0.3385801,-0.2105632,-0.001444589,-0.18862799,0.051321544,-0.2624445
-0.4849987,-0.75551164,-0.1856588,-0.20653377,-0.102980494,0.20517257,3.5246427,-0.45391738,-0.31876764
-0.30621755,0.6294432,-0.17661476,-0.2534301,-0.10848795,-0.13114426,-0.66164297,3.2430723,-0.3292041
-0.27233398,-0.21991368,-0.2322665,-0.17556727,-0.20389834,0.042395446,-0.12477167,-0.37064373,-0.34191507
0.23688671,-0.03991434,0.26659846,-0.21356297,-0.14397675,-0.10196021,0.14922549,-0.009664077,-0.39099774
-0.4565164,-0.108885214,0.25776613,-0.19593257,-0.23299158,-0.15330538,0.057337444,-0.045757826,-0.39182884
