Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6,Omics 2 private topic 5
3.4256516,-0.35301587,-0.34047672,-0.15831198,-0.34604752,0.1587463,-0.12182091,1.0771462,0.12250975,0.04496241
-0.1733645,-0.16021462,-0.13918011,-0.29905432,-0.29576194,0.04535697,-0.15076081,-0.35307363,-0.06795171,-0.32966164
0.001315653,-0.10707538,-0.16073787,-0.40264612,-0.47442597,-0.14160895,-0.06586608,-0.22248247,-0.2897194,0.022626653
0.57988,-0.6718967,-0.04010844,0.30284634,-0.40678054,0.52412087,0.026076607,-0.2965078,-0.2125982,0.005466428
-0.060589664,0.2458036,-0.16910778,-0.57855976,-0.21660726,-0.123064935,-0.3456568,1.1914377,1.2185106,-0.19985911
-0.29723758,-0.23455259,-0.31774557,-0.2698044,-0.27076715,-0.23203106,0.16277602,-0.42210838,-0.23737943,-0.17372511
0.13208032,-0.23596668,-0.3267927,0.42967775,-0.373644,0.042754672,-0.28570998,0.33194104,-0.29110816,-0.1909648
-0.6498072,0.22460955,-0.6002973,-0.350283,-0.2880994,-0.099203765,-0.1190799,-0.29250398,-0.22424999,-0.24087447
0.12399644,-0.32940903,-0.8448077,-0.28635612,3.3160305,-0.7290837,-0.64639115,-0.39562085,-0.29317102,-0.3189551
-0.5293216,-0.95578057,0.058271937,-0.44984606,-0.27781647,-0.39210325,-0.3019426,-0.310647,-0.24266092,0.08061747
-0.26683736,-0.43784034,-0.3090471,-0.29274833,-0.27946818,-0.23073539,-0.27978113,-0.3227915,-0.26955172,-0.33202434
0.08871463,-0.113174066,-0.3079641,-0.21199475,-0.18053539,0.1764546,-0.04734966,-0.35931432,-0.19502008,-0.3070898
0.6347643,-0.74291253,-0.24389353,-0.27308208,-0.2028866,-0.17857346,3.669758,0.37715265,-0.35217857,-0.45132092
-0.30763358,-0.36944753,-0.35593736,0.37874442,-0.40183073,0.66738176,-0.2778841,-0.31605223,-0.2185303,-0.012652355
0.17642069,-0.4490797,-0.32066086,-0.05165609,-0.35867375,0.47617912,0.005116985,1.5693791,0.40860087,-0.14017496
-0.8570566,-0.3814151,-0.1655978,-0.020134494,-0.04194833,0.74927455,0.098456345,-0.45116875,-0.18520968,0.059116818
-0.08520856,0.21179403,-0.7739246,-0.8098721,3.1883621,0.11010653,-0.12518819,-0.42074135,-0.23209853,-0.4592144
-0.26235414,-0.76490736,-0.10423121,-0.8515199,-0.46639138,-0.30613506,-0.40028483,-0.3387848,-0.19846173,-0.09753043
-0.103791475,3.0933352,-0.22873628,-0.03222112,-0.24753031,-0.51569444,-0.47725976,-0.40296552,-0.27494317,-0.27963716
-0.21476027,-0.3690412,-0.48267904,-0.522143,-0.45085138,-0.14054312,-0.67785794,-0.23508184,-0.28373674,3.948802
-0.20808719,-0.004699066,-0.11594233,-0.3106589,-0.17237695,-0.20607288,0.088096514,-0.31021643,-0.22475302,3.7558649
3.230208,-0.38032457,-0.39779896,-0.39342546,-0.35968444,-0.08555312,-0.19453451,-0.32785168,-0.363638,-0.150904
-0.2738071,-0.09188689,0.08538022,-0.24335817,-0.3170578,-0.17227115,-0.19278115,1.428002,0.20509364,-0.49377367
0.39675224,-0.20027015,0.2801124,-0.29591444,-0.401081,-0.079617135,-0.024952538,-0.28740823,-0.24722187,-0.15110922
0.20519744,-0.44260925,-0.08791962,-0.7048082,-0.47230995,0.39661986,4.025711,-0.3513046,-0.20114045,-0.40328774
-0.19433638,0.14088668,-0.35325766,-0.40908673,-0.37878197,0.21455014,-0.2528793,-0.53331083,-0.16811742,-0.12053891
0.046172045,0.09388496,0.03189109,-0.3273839,-0.3690232,0.0705767,-0.07565079,-0.30627787,-0.2520591,-0.36354166
-0.36829475,4.063347,-0.001017425,-0.27164108,-0.27712953,0.00861375,0.2807059,-0.30513167,-0.22807053,-0.13889387
-0.17740875,0.23563674,-0.22907266,-0.471649,-0.331836,0.085234314,-0.32533708,-0.484487,-0.1403583,-0.09354811
0.27836847,-0.30397874,0.17140858,-0.56244624,-0.00104709,-0.2598124,-0.29481137,-0.17782679,-0.25431344,-0.08381136
3.5525002,-0.10550977,-0.52447295,-0.23783472,-0.29307652,-0.7671172,-0.4244723,-0.38449535,-0.2470855,-0.18294796
-0.19714129,-0.19144687,-0.31758487,0.278581,-0.3278688,0.076844305,-0.22415996,-0.24733835,-0.27856886,3.817555
0.08814797,0.19644076,2.5911067,-0.31154895,-0.5659351,0.3064381,-0.30320758,-0.25822765,-0.23887974,-0.37886137
3.5940466,-0.33945838,-0.38188896,-0.3064537,-0.31105652,-0.8062109,-0.39157334,-0.30492723,-0.34837356,-0.2668539
-0.26379254,-0.5824024,-0.23358393,0.6078082,-0.27531996,0.7759127,-0.13342974,-0.39341018,-0.18794627,0.003488174
-0.45379555,1.8064663,-0.23280391,-0.42366737,-0.34436738,-0.48161227,-0.3653381,-0.29996818,-0.22256693,-0.24750464
-0.5823941,-0.7515252,-0.24110547,-0.927411,3.336903,-0.14268488,0.15879428,-0.39857298,-0.28153437,-0.4243726
-0.18210647,-0.08509876,-0.38029695,-0.49950927,3.139155,-0.81371987,-0.3094157,-0.35104468,-0.25565797,-0.26152086
0.14626099,-0.31092763,0.095780924,0.1531728,-0.31936222,0.18982643,-0.24861482,0.1913393,-0.013474925,-0.18729088
-0.2514269,3.8636665,-0.54239637,-0.47312582,-0.2979117,-0.027030826,-0.30128565,-0.116585284,-0.21805093,-0.16900323
-0.5132958,-0.6150335,-0.54076153,-0.22590682,3.2056437,-1.3415601,-0.45052493,-0.39179277,-0.26330346,-0.28295198
-0.600788,-0.22912993,-0.37844515,0.21603042,3.106113,-0.6583848,-0.6181399,-0.41748378,-0.30021128,-0.37510478
-0.13773689,0.008457661,-0.2739849,-0.047029547,-0.37956566,0.17609318,0.030580059,-0.46113306,-0.2435044,4.0581646
-0.122660756,0.049343877,-0.07701782,-0.39284533,-0.26415098,-0.08703135,-0.09949282,-0.2778934,-0.299452,-0.26913962
-0.028328758,0.05015911,-0.05709221,-0.32450378,-0.346869,-0.013991609,-0.12452288,-0.28831276,-0.25340793,-0.36038542
0.18669057,0.19792102,3.893394,-0.5719385,-0.44892016,-0.4551918,-0.6040482,-0.24540487,-0.25941288,-0.28325924
-0.28967944,-0.87752575,-0.83785236,-0.63592184,2.7442596,-0.87848794,-0.49921867,0.5207581,-0.35879079,-0.31426084
-0.7139652,-0.35479945,-0.27187893,-0.3237448,-0.38939023,-0.32017344,3.9788136,-0.24117555,-0.27419704,-0.239963
3.1993055,-0.11132445,-0.39271107,-0.44735277,-0.37211835,-0.4957114,-0.47429103,-0.37972695,-0.23808703,-0.35924518
-0.14012724,-0.41531312,-0.3372378,-0.52395374,-0.37517577,-0.015425742,-0.051539958,-0.42740536,-0.17081515,-0.1566132
-0.23721799,0.027656138,4.0125637,-0.37497115,-0.31045955,-0.40114304,-0.44454676,-0.2345832,-0.03784778,-0.48939145
0.28017658,-0.4123189,-0.43553603,-0.69825774,-0.29359457,-0.23582168,3.5478535,-0.2901751,-0.28632072,-0.40124518
-0.44250774,2.1266017,-0.46893767,-0.11176528,-0.27308145,-0.381761,-0.1259013,-0.11474004,0.03557329,-0.15375482
-0.67163986,-0.7271967,-0.5391478,3.1315622,-0.39827788,-0.59007657,-0.44285288,-0.34944588,-0.2129395,-0.74403435
-0.8819897,-0.8807361,-0.16584924,0.000297144,3.269123,-0.6814625,-0.12058609,-0.40340155,-0.27507314,-0.3229314
-0.12588412,0.054133072,-0.3941881,-0.2650361,-0.26291192,-0.16436534,-0.5208504,1.7307839,0.47189906,-0.21478951
0.16335332,-0.09375486,-0.5018625,3.5040145,-0.40410548,-0.79240704,-0.63815725,-0.3887107,-0.2136962,-0.6988525
-1.1174923,-0.8684647,0.097434044,-0.67668736,-0.28881952,-0.655728,0.2933185,-0.3257356,-0.27557775,3.26125
-0.37659281,0.67787933,-0.3757321,-0.09934215,-0.3531784,-0.5177128,-0.34939063,-0.31832707,-0.25658002,3.8399906
