,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6
96,-1.2698259,-3.3289883,2.9206681,-3.258467,-6.4401298,-2.0649643,-0.63739413,-3.031504,-4.5870743
97,-3.2206342,-6.1663995,-0.89146227,-5.1947384,-4.7816973,-4.09412,2.6992953,-0.7722072,-5.174449
98,-0.3435893,-1.3615046,-2.0102384,-1.4117837,-5.178412,-1.334313,2.853486,-2.4112535,-4.8979473
99,-4.62378,-0.9367678,-6.1699896,-5.615163,-5.2204905,-1.0841286,2.6698918,-0.2012319,-0.29410315
100,-4.2844696,-4.8328266,2.8763533,-0.3822854,-5.2301197,-3.3319004,-3.8482513,-0.5178823,-1.5424104
101,-5.846062,-0.5488643,-0.9611106,-5.5145707,-5.6824737,-4.105488,-1.354591,-0.7349714,3.104803
102,-5.764401,-3.6273913,-2.168796,2.6301675,-5.7150207,-2.0136333,-4.9328938,-0.5028985,-5.011807
103,-0.86586046,-1.2742801,-1.0167942,-2.2247164,-5.7560897,2.8155105,-6.520557,-0.6317093,-3.0200984
104,-1.4374017,-2.5996473,-4.4368954,-4.4196877,-6.0613303,-3.2319803,0.039253533,-0.50233936,2.8494558
105,-2.170898,2.6160994,-5.435073,-1.4665852,-5.968344,-2.1851804,-2.3929696,-0.31786904,-2.333682
106,-0.8588685,-3.6008117,3.0538838,-5.3608394,-4.800043,-1.8903829,-1.9471031,-0.63127005,-1.6216418
107,-3.5925689,-0.73420775,-1.0897897,-6.3011866,-6.884433,-4.353486,-6.2742124,-0.22291219,3.126979
108,-3.3499546,-4.168625,-3.547639,-2.1164703,-4.980028,-2.778525,-1.935727,-0.036020964,2.3803496
109,-2.7897425,-5.7787414,-1.1863723,-4.1582546,-5.262945,-0.6690884,-4.1036844,-0.5163373,2.5404875
110,-5.1191864,-0.82691205,-3.4650097,2.790224,-3.1270509,-4.716523,-1.5106437,-0.4789364,-3.9263136
111,2.6348317,-4.938724,-0.5934563,-2.0811746,-4.826842,-0.8500962,-4.181361,-0.29842728,-3.6168778
112,-1.7181342,-5.9109325,-2.4809504,-1.8834447,2.933109,-1.0317254,-5.7782674,-0.45702717,-5.0666637
113,-1.5705024,-4.263381,-1.7694191,2.7635787,-5.9828176,-5.397637,-4.6634727,-0.41252023,-5.0468774
114,-2.3438842,-1.6702272,-2.0618436,2.8274724,-2.400004,-0.97408277,-4.6214514,-0.39739868,-2.2454543
115,-0.7642208,-1.0955195,2.7326293,-1.5798926,-1.2904596,-5.2382116,-0.49156365,-1.6680354,-5.710894
116,-5.2530513,-1.5729442,-1.076978,-4.5499344,-6.4221396,-5.036697,2.745719,-0.76587546,-3.8105397
117,-3.6483712,-3.817549,-1.1516967,-4.480715,-6.055755,-5.1807585,-2.24232,-0.24771366,2.8826036
118,-1.5970801,-1.1186955,-3.840038,-3.5976462,-5.7399487,3.0031285,-0.7353834,-1.9904516,-3.6110933
119,-2.0095837,-4.954888,-1.2425854,-6.0393662,2.9481173,-3.4451973,-3.8042686,-0.48116702,-3.691697
120,0.018835008,-2.7200167,-3.035017,-5.4872313,-5.0395226,-4.8639865,-1.0069971,-0.732059,2.8967876
121,-4.219242,-0.9290709,-6.041155,-6.144693,-5.9274335,-0.8686472,-0.3235706,0.19093847,2.5343876
122,-0.68588513,-4.8233857,2.8951337,-3.7621138,-5.954819,-1.4628093,-3.4841752,-0.49736002,-5.3443184
123,-3.825262,-3.44925,-1.2467165,-5.790251,-5.9094424,-6.065919,2.7160656,-0.5874882,-3.9752452
124,-1.2750055,-2.563662,-4.091077,-0.45194834,-0.7326364,-5.3434677,-2.1214833,-0.0253219,2.8482268
125,2.821114,-1.5333955,-3.0358295,-6.010642,-5.875661,-4.9680066,-1.0468633,-2.2665992,-3.909817
126,-2.6366484,-2.202098,0.032547712,-1.0954698,-4.4008093,-3.5816393,-2.1107028,-0.2056438,2.9299695
127,-0.6712406,-5.2391787,2.7842753,-1.9062327,-5.7269993,-0.5010567,-1.6179591,-1.6917198,-4.390328
128,-3.0930138,-2.2523952,-4.70327,-4.181678,-6.095293,-1.3469832,-0.7590861,-0.427669,2.818991
129,-1.6552043,-1.0217292,-6.131136,-5.067815,-6.820264,-1.8020494,2.7329605,-0.35993487,-4.1642127
130,-3.2114794,-1.9091377,-3.8092413,-4.7964764,-6.335075,2.9394433,-0.16954678,-1.5998703,-4.027907
131,2.9566164,-0.9364295,0.035924017,-1.6767596,-5.0960474,-0.049658358,-1.128535,-2.3438573,-4.394173
132,-1.4556211,-0.4342081,-1.0125985,-1.2822927,-2.0573492,-0.6401728,2.8270543,-0.64166135,-3.6909251
133,-1.1017702,-3.2394166,-2.4848673,-3.2946925,-5.356114,2.5683124,-0.71782374,-3.4287057,-3.6900332
134,-3.5205536,2.6133342,-5.7085857,-6.0557375,-5.5382147,-6.3274117,-0.43325207,-0.54463917,-4.797752
135,-0.94311196,-5.581519,-0.64580196,-3.1816232,-5.246782,-3.9137897,-0.65868026,-0.22557366,2.6090462
136,-2.9491897,-1.0014607,-2.377361,2.9102886,-6.269592,-2.2457695,-1.2721286,-0.13009474,-4.330594
137,-2.5378258,-1.3100452,-1.7307397,2.6335921,-5.707365,-3.4149244,-5.992125,-0.42423773,-5.2083364
138,2.6975238,-1.2120569,-3.9358516,-5.773341,-3.8407853,-5.2004037,-3.88256,-2.2534156,-4.3141603
139,-5.163008,-1.8578856,-4.0246,-5.182409,3.0659451,0.35296905,-3.0157573,-0.28342384,-1.757731
140,-4.40417,-0.94954187,-1.0207177,-5.4589205,-5.2774363,-5.710488,-0.24789214,-0.22690898,2.9755685
141,3.224408,-3.2558854,-5.069397,-4.4710317,-2.6159577,-1.515727,-0.77687305,-0.59641474,-4.4544387
142,-0.10602242,2.4430382,-0.81742746,-5.9207363,-5.200489,-6.2417064,-0.06370628,-1.0081496,-3.5158303
143,-5.2036734,-1.0173546,-0.24250215,2.5529666,-6.0194106,-2.6242006,-5.789437,-0.094305694,-3.3648224
144,-1.2061583,-1.7747676,-1.3313415,-6.07583,-4.879346,2.8257642,-0.8179895,-0.64126617,-5.611466
145,-4.371139,-1.4414432,-1.1415601,-5.858235,-4.1236553,-1.0457748,-3.1703594,-0.6282154,2.670763
146,-3.9426665,-1.9146404,-1.9456058,-3.341277,-5.411127,0.060936034,2.766691,-0.60043645,-5.2611933
147,-3.623234,-5.196483,-4.4556537,-3.451087,-3.5315814,-3.7247117,-6.2502112,-0.35508138,2.810686
148,-4.3660975,2.5707552,-6.138262,-4.865276,-5.193947,-0.37398747,-5.169988,-0.85655165,-5.4340887
149,-4.91182,2.8367896,-4.7390585,-0.5503913,-5.6254907,-4.064563,-5.518722,-3.084079,-3.5538528
150,-3.4848053,-2.148919,-1.1439213,-1.2838337,-5.702899,-1.2330639,-0.7511121,-0.563305,2.6898968
151,-1.9900008,-5.4519987,-2.9517426,-4.5848885,-6.371267,-5.4926987,0.47117817,-0.38727668,3.1239686
152,-3.456349,-5.1402974,-1.7296326,-5.568784,-5.6654024,-5.850645,-4.127177,-0.48845202,2.8937733
153,-4.5245543,-6.1983247,2.796397,-3.6655734,-0.5484365,-2.6062863,-3.2128644,-0.4257054,-4.671078
154,-1.4772204,-2.5612845,-6.798749,-3.1663754,-5.756676,-6.3213067,-5.6677356,-0.6122402,3.060761
